locustag,title,description,function,product,essential,protID
BSU14190,ykuR,N-acetyl-diaminopimelate deacetylase,biosynthesis of lysine and peptidoglycan,N-acetyl-diaminopimelate deacetylase,yes,O34916
BSU28820,ysdC,putative aminopeptidase,unknown,putative aminopeptidase,no,P94521
new25227742522859c,S915,new RNA feature  intergenic region,,intergenic region,,
new36939073693970c,S1379,new RNA feature  5'UTR of ywtG,,5'UTR of ywtG,,
BSU35810,gerBB,nutrient receptor  germination response to the combination of glucose  fructose  and KCl,germination,part of the putative nutrient-gated [[protein|3368743E6E03792DB83A38A19989123304DF7560]]-[[protein|D70EC7C02BC79BED724489ABCB6356447F215B87]]-[[protein|93D4D6864686E6E559E6CEFA69BAC77EEFAA1BE3]] ion channel,no,P39570
new41096764109842,S1538,new RNA feature  5'UTR of yxzK,,5'UTR of yxzK,,
BSU37340,ywiB,unknown,unknown,unknown,no,O07624
BSU16090,sucC,succinyl-CoA synthetase (beta subunit),TCA cycle,succinyl-CoA synthetase (beta subunit),no,P80886
BSU32750,metN,methionine [wiki|ABC transporter ](ATP-binding protein),methionine uptake,methionine [wiki|ABC transporter ](ATP-binding protein),no,O32169
BSU34590,mdxG,maltodextrin [wiki|ABC transporter]  permease,maltodextrin utilization,maltodextrin [wiki|ABC transporter]  permease,no,O06991
BSU26720,azlB,transcriptional repressor ([wiki|Lrp family]) of the [[gene|D7397591C2157EBB1951ED3DC1E315F9AE7A4BB3]]-[[gene|C90D642197EE589F9D33CD5AA0B1069E3BC124A8]]-[[gene|7A1445B7AFD9C3AA45EF67E51F5D233FCC5F8884]]-[[gene|8BB8BDA602CC26B0A9E8C22666F0EC539306CF39]]-[[gene|17FFEA4977F4F7334CFF7CD1C644DF14F599E6E6]] operon,regulation of branched-chain amino acid transport and histidine export,transcriptional repressor ([wiki|Lrp family]),no,O07920
new17657481765813,S605,new RNA feature  intergenic region,,intergenic region,,
BSU24900,rpmGA,ribosomal protein bL33a,translation,ribosomal protein L33a (bL33a),no,P56849
new11075621107672,S364,new RNA feature  intergenic region,,intergenic region,,
BSU00140,dck,deoxyadenosin/deoxycytidine kinase,purine salvage and interconversion,deoxyadenosin/deoxycytidine kinase,no,P37529
BSU01140,ybaC,similar to proline iminopeptidase,unknown,unknown,no,P70981
BSU24470,yqhS,similar to 3-dehydroquinate dehydratase,unknown,unknown,no,P54517
new28696312869739c,S1062,new RNA feature  5' of BSU_misc_RNA_44,,5' of BSU_misc_RNA_44,,
new35468613547259,S1319,new RNA feature  3'UTR of clpP,,3'UTR of clpP,,
new31367123136937c,S1172,new RNA feature  intergenic region,,intergenic region,,
new38612233861307c,S1457,new RNA feature  5'UTR of ywzC,,5'UTR of ywzC,,
new21915562193247c,S775,new RNA feature  intergenic region,,intergenic region,,
BSU07640,yflL,acylphosphatase,unknown,acylphosphatase,no,O35031
BSU23830,yqjL,general stress protein  putative hydrolase involved in oxidative stress resistance  important for survival at low temperature,resistence against paraquat,putative hydrolase,no,P54549
BSU21170,yomZ,unknown,unknown,unknown,no,O31958
BSU09830,yhaX,[[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]-dependent sporulation protein,protection of the spore,spore coat protein,no,O07539
BSU01820,adaB,O6-methylguanine-DNA methyltransferase,adaptive response to alkylative DNA damage,O6-methylguanine-DNA methyltransferase,no,P19220
new29151492915261c,S1079,new RNA feature  5'UTR of abf2,,5'UTR of abf2,,
BSU31360,yugK,similar to NADH-dependent butanol dehydrogenase,unknown,unknown,no,O05240
new2245222529,S14,new RNA feature  3' of trnSL-Ser1,,3' of trnSL-Ser1,,
BSU25860,yqcG,LXG toxin  eliminates defective cells from developing biofilms  RNase activity,eliminates defective cells from developing biofilms,LXG toxin  RNase,yes,P45942
BSU25930,yqcE,similar to phage-related protein,unknown,unknown,no,P45940
BSU26040,yqbN/2,similar to phage-related protein  part of the yqbN pseudogene,unknown,unknown,no,
BSU23810,yqjN,similar to amino acid degradation,unknown,unknown,no,P54551
BSU01450,ybxA,ATP-binding A1 component of [wiki|ECF transporter]s,uptake of micronutrients,[wiki|ECF transporter] (ATP-binding protein),no,P40735
BSU17950,yneJ,unknown,unknown,unknown,no,P45710
BSU33630,secG,preprotein translocase subunit,protein secretion,preprotein translocase subunit,no,O32233
new41440794144300c,S1551,new RNA feature  intergenic region,,intergenic region,,
BSU19730,yodS,similar to butyrate-acetoacetate CoA-transferase,unknown,unknown,no,O34317
BSU09860,khtT,K<sup>+</sup>/H<sup>+</sup> antiporter for K<sup>+</sup> efflux,potassium ion efflux,K<sup>+</sup>/H<sup>+</sup> antiporter for K<sup>+</sup> efflux,no,O07535
BSU36730,ywmD,unknown,unknown,unknown,no,P70961
BSU04040,ycsE,5'-nucleotidase  dephosphorylation of the riboflavin precursor  5-amino-6-ribitylamino-2 4(1H 3H)-pyrimidinedione 5'-phosphate,dephosphorylation of the riboflavin precursor  5-amino-6-ribitylamino-2 4(1H 3H)-pyrimidinedione 5'-phosphate,5'-nucleotidase,no,P42962
BSU14420,ykoA,unknown,unknown,unknown,no,O31715
BSU05840,gmuD,phospho-beta-mannosidase,glucomannan utilization,phospho-beta-mannosidase,no,O05508
new14836711483955,S513,new RNA feature  intergenic region,,intergenic region,,
BSU37770,rocB,N-carbamoyl-L-ornithine-hydrolase  required for citrulline utilization,citrulline utilization,N-carbamoyl-L-ornithine-hydrolase,no,P39635
new31361193136205c,S1171,new RNA feature  intergenic region,,intergenic region,,
BSU12210,yjiB,cytochrome P450  monooxygenase CYP109B1,oxidation of fatty acids,monooxygenase CYP109B1,no,O34374
new14478931448237c,S501,new RNA feature  5'UTR of ykvS,,5'UTR of ykvS,,
new449651449723,S132,new RNA feature  5'UTR of mtlA,,5'UTR of mtlA,,
BSU07400,yfmO,similar to multidrug-efflux transporter,unknown,unknown,no,O06473
BSU20410,yorE,unknown,unknown,unknown,no,O31909
BSU31620,mrpC,Na<sup>+</sup>/H<sup>+</sup> antiporter subunit  multiple resistance and pH homeostasis,sodium export,Na<sup>+</sup>/H<sup>+</sup> antiporter subunit,yes,O05260
new936766937078,S298,new RNA feature  intergenic region,,intergenic region,,
BSU35530,tagO,undecaprenyl-phosphate-GlcNAc-1-phosphate transferase  teichoic acid linkage unit synthesis,biosynthesis of teichoic acid,undecaprenyl-phosphate-GlcNAc-1-phosphate transferase,yes,O34753
BSU05030,yddM,unknown,unknown,unknown,no,P96650
BSU33070,gerAC,lipoprotein  nutrient receptor  [wiki|germination] response to L-alanine  triggers premature [wiki|germination] in response to morphological defects during [wiki|sporulation],germination response to L-alanine,part of the nutrient-gated [[protein|EEDE6A22E91992ABCA677CAB7917B7168C5CB868]]-[[protein|5FF739B8C087207039BB6DC293EE77F59337ED0B]]-[[protein|D937E26DF69D49B1341B37596AC6A8FBEEF8BA2E]] ion channel,no,P07870
BSU04610,ydcA,unknown,unknown,unknown,no,P96617
BSU32980,yusZ,putative short-chain acyl dehydrogenase,unknown,unknown,no,P37959
BSU07660,yflJ,unknown,unknown,unknown,no,O34345
BSU03080,ycgE,similar to transcription regulator,unknown,unknown,no,O31472
new14299671430160c,S487,new RNA feature  3'UTR of ykvA,,3'UTR of ykvA,,
BSU39500,yxeM,putative S-(2-succino)cysteine [wiki|ABC transporter] (binding protein),uptake and utilization of S-(2-succino)cysteine,putative S-(2-succino)cysteine [wiki|ABC transporter] (binding protein),no,P54952
BSU33550,yvaC,unknown,unknown,unknown,no,O32225
BSU39170,yxzG,unknown,unknown,unknown,no,O32285
BSU37060,tdk,thymidine kinase,biosynthesis of thymidine nucleotides,thymidine kinase (ATP:thymidine),no,Q03221
new24321722432238c,S883,new RNA feature  5'UTR of ypuD,,5'UTR of ypuD,,
BSU28060,spoIIB,spatial and temporal regulation of the dissolution of septal peptidoglycan during engulfment,spore morphogenesis,facilitator of septal dissolution,no,P37575
BSU26500,yrkI,putative sulfur carrier protein,unknown,unknown,no,P54436
BSU20640,yoqG,unknown,unknown,unknown,no,O35030
BSU03470,hxlR,[wiki|MarR family|MarR/DUF24 family] transcription activator of the [[gene|BF480721B89661BFFE6632BB10C5F4DC29951784]]-[[gene|FB0CEA291CA4EC5FB8410050E61B89EDBA1771F9]] operon,regulation of the ribulose monophosphate pathway,[wiki|MarR family|MarR/DUF24 family] transcription activator,no,P42406
BSU30210,bioD,dethiobiotin synthase,biosynthesis of biotin,dethiobiotin synthase,no,P53558
BSU11970,yjcS,unknown,unknown,unknown,no,O31641
BSU11980,yjdA,similar to 3-oxoacyl-acyl-carrier protein reductase,unknown,unknown,no,O31642
new40938384093937c,S1532,new RNA feature  5'UTR of yxbF,,5'UTR of yxbF,,
BSU04410,ydbB,unknown,unknown,unknown,no,P96597
BSU17960,yneK,unknown,unknown,unknown,no,P45711
BSU40810,yyaM,unknown,unknown,unknown,no,P37511
BSU24300,xseA,similar to exodeoxyribonuclease VII (large subunit),unknown,unknown,no,P54521
BSU25010,yqgE,unknown,unknown,unknown,no,P54487
BSU14940,ylbA,unknown,unknown,unknown,no,O34743
new502632502875,S151,new RNA feature  3'UTR of ydbI,,3'UTR of ydbI,,
BSU08780,ygaJ,similar to peptidase,unknown,unknown,no,P71089
BSU19040,csaA,molecular chaperone involved in protein secretion,protein secretion,molecular chaperone,no,P37584
BSU31850,yueC,membrane protein  part of the type VII protein secretion system [[protein|3CC3E197848E9688413C15CEA7DDCF0A7120A920]]-[[protein|3FE4A91C7D0B43C8704391F2F9493852B3AED9B0]]-[[protein|6007664F3D979B4D8D4662C7F6E5CF2F489268E3]]-[[protein|0A38B2E900532C9950DE6E629F5EB21D64E18B55]]-[[protein|DA52C4CD130F32734E01A52F2F395127D2260F61]],export of [[protein|50D2A03E2D7B5D461540FD157377E0D37F771888]],part of the type VII protein secretion system,no,O32100
BSU38630,katX,catalase  general stress protein,detoxification (degradation) of hydrogen peroxide,catalase (major catalase in spores),no,P94377
new40408764040985c,S1516,new RNA feature  5'UTR of abn2,,5'UTR of abn2,,
new16439101644485c,S572,new RNA feature  independent transcript,,independent transcript,,
BSU36760,murAA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,peptidoglycan precursor biosynthesis,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,yes,P70965
new27122432712576c,S991,new RNA feature  intergenic region,,intergenic region,,
BSU29470,ackA,acetate kinase,overflow metabolism,acetate kinase,no,P37877
BSU34020,yvbX,putative glycoside hydrolase,unknown,unknown,no,O32258
new838921839051c,S264,new RNA feature  5'UTR of yflJ,,5'UTR of yflJ,,
BSU05460,ydfL,similar to multidrug-efflux transporter regulator ([wiki|MerR family]),unknown,unknown,no,P96690
BSU36150,ywqN,unknown,unknown,unknown,no,P96726
new37916493791748c,S1429,new RNA feature  5'UTR of ywlF,,5'UTR of ywlF,,
new26001562602305,S951,new RNA feature  independent transcript,,independent transcript,,
BSU37400,albD,ABC transporter (membrane protein)  export of antilisterial bacteriocin (subtilosin),export of antilisterial bacteriocin (subtilosin),ABC transporter (membrane protein),no,P71008
BSU20250,mtbP,DNA (cytosine-5-)-methyltransferase,DNA modification,DNA (cytosine-5-)-methyltransferase,no,P68585
BSU30700,rpmEB,general stress protein  binds in the stationary phase to the [wiki|ribosome]  replaces [[protein|035154A4160F084BA1CC124D0951937B203E167D]] under conditions of zinc limitation,survival of salt stress,accessory ribosomal protein,no,O34967
BSU09190,yhcR,extracellular non-specific endonuclease  RNase,utilization of nucleic acids,extracellular non-specific endonuclease  RNase,no,P54602
new27808942780990c,S1030,new RNA feature  5'UTR of yrhF,,5'UTR of yrhF,,
BSU40830,yyaK,unknown,unknown,unknown,no,P37513
BSU24560,gcvPA,glycine decarboxylase (subunit 1),glycine utilization,glycine decarboxylase (subunit 1),no,P54376
BSU15390,sepF,part of the [wiki|divisome]  recruits [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]] to the membrane and [[protein|DF77B46666595E86081C5345C91E08F86DF9FAEE]] to the Z-ring  determines the thickness of the septal cell wall,recruitment of [[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]]  recruits [[protein|DF77B46666595E86081C5345C91E08F86DF9FAEE]] to the Z-ring,[[protein|41872E2EF00C79918DD077F2EF78F37E24FEB110]]-interacting protein  member of the [wiki|divisome],no,O31728
BSU39350,hutH,histidase,histidine utilization,histidase,no,P10944
BSU29950,ytlQ,unknown,unknown,unknown,no,O34471
BSU06780,yeeC,unknown,unknown,unknown,no,O34352
BSU25780,arsC,arsenate reductase,detoxification of arsenate,arsenate reductase,no,P45947
BSU11160,yitW,iron-sulphur cluster assembly factor,assembly of iron-sulphur clusters,iron-sulphur cluster assembly factor,no,P70949
BSU10280,yhfM,unknown,unknown,unknown,no,O07611
new22130792214861,S790,new RNA feature  3'UTR of yoyI,,3'UTR of yoyI,,
BSU34320,epsF,similar to glycosyltransferase,[wiki|biofilm formation],unknown,no,P71055
BSU01720,ybbK,unknown,unknown,unknown,no,Q45584
BSU21460,bdbA,thiol-disulfide oxidoreductase,oxidative folding of proteins,thiol-disulfide oxidoreductase,no,P68569
BSU05360,ydfC,unknown,unknown,unknown,no,P96680
BSU21400,yomD,unknown,unknown,unknown,no,O31981
BSU17970,cotM,spore coat protein (outer),resistance of the spore,spore coat protein (outer),no,Q45058
new18948961895211,S636,new RNA feature  3'UTR of xylB,,3'UTR of xylB,,
BSU24230,spoIVB,serine protease (site 1 protease)  cleaves [[protein|AB2A3422277040107AAF90358BBE58608F8E0738]] to prepare it for [[protein|85247AD09B7A472607B32D57E6318BA6C83EC6BA]] cleavage  this results in pro-[[protein|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] processing/activation in the mother-cell  does also cleave [[protein|85247AD09B7A472607B32D57E6318BA6C83EC6BA]],control of [[protein|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] activation,serine protease,no,P17896
BSU34130,ganA,beta-galactosidase,galactan utilization,beta-galactosidase,no,O07012
BSU03690,gerKD,negative effector (D protein) of the [[protein|EDB2F4C132211F01654F2A2ED3D220EC15CE6F22]]-[[protein|D1AFCB1BE693AB6B8461B7764B6641E6EB1404FA]]-[[protein|D5D4E1E182F972BEF6BB432A7FF25EF45F1F0D95]] germinant receptor,germination,negative effector of the [[protein|EDB2F4C132211F01654F2A2ED3D220EC15CE6F22]]-[[protein|D1AFCB1BE693AB6B8461B7764B6641E6EB1404FA]]-[[protein|D5D4E1E182F972BEF6BB432A7FF25EF45F1F0D95]] germinant receptor,no,O31479
BSU40680,yybD,similar to GCN5-related N-acetyltransferase,unknown,unknown,no,P37500
new32997013300252,S1237,new RNA feature  3' of S1236,,3' of S1236,,
BSU10770,wprA,secreted quality control protease,protein quality control,secreted quality control protease,no,P54423
BSU23660,yqkB,unknown,unknown,unknown,no,P54565
new21572332157340c,S764,new RNA feature  intergenic region,,intergenic region,,
BSU00980,sigH,[wiki|RNA polymerase] [wiki|sigma factor] SigH  not fully active in laboratory strains due to a mutation (V117A),transcription of early stationary phase genes ([wiki|sporulation]  competence),[wiki|RNA polymerase] [wiki|sigma factor] SigH,no,P17869
new23524672352591c,S851,new RNA feature  intergenic region,,intergenic region,,
BSU07820,treR,transcription repressor of the [[gene|BC568649A341B2E6341993EDA4BF52BDE18A3294]]-[[gene|2EB9E0C492DF57DF683817E31D6DD34D7580E631]]-[[gene|DC374E280C5A67C138D7EAC43AA66DA63CEF82B6]] operon ([wiki|GntR family]),regulation of trehalose utilization,transcription repressor ([wiki|GntR family]),no,P39796
BSU25170,yqfO,similar to GTP cyclohydrolase,unknown,similar to GTP cyclohydrolase,no,P54472
BSU26830,zinT,lipoprotein  zinc-binding protein,zinc-binding protein,zinc uptake,no,O05410
new37470923747171c,S1404,new RNA feature  5'UTR of flhO,,5'UTR of flhO,,
BSU37970,ung,uracil-DNA glycosylase,DNA repair,uracil-DNA glycosylase,no,P39615
BSU00310,holB,DNA polymerase III (delta subunit)  part of the clamp-loader complex and the [wiki|replisome],[[category|SW.3.1.1]],DNA polymerase III (delta subunit),yes,P37540
BSU16290,flgE,flagellar hook protein,movement and chemotaxis,flagellar hook protein,no,P23446
BSU30900,cotS,outer spore coat protein,resistance of the spore,spore coat protein,no,P46914
BSU16450,cheC,control of chemotaxis by interacting with [[protein|BE9373BEB682E5F8B0938AAA4ED9B723B357ABAE]]  [[protein|2F0495C7EAB81BDB1F3181677C555537BD2A972F]]-P phosphatase  inhibition of [[protein|1217807AE3AE3A654BA0DD4AF5ADF1CEE62632B6]]-mediated methylation of MCPs,motility and chemotaxis,[[protein|2F0495C7EAB81BDB1F3181677C555537BD2A972F]]-P phosphatase,no,P40403
BSU10310,yhfO,predicted acyltransferase,unknown,unknown,no,O07614
BSU18709,yozT,unknown,unknown,unknown,-,C0H421
BSU00380,metS,methionyl-tRNA synthetase,translation,methionyl-tRNA synthetase,yes,P37465
BSU38650,yxlG,similar to [wiki|ABC transporter] (membrane protein),unknown,[wiki|ABC transporter] (membrane protein),no,P94375
new886682886774c,S282,new RNA feature  intergenic region,,intergenic region,,
BSUCDS3119273,ytrG,small membrane protein,unknown,unknown,no,
BSU04820,immR,transcriptional repressor ([wiki|Xre family])  controls expression of genes of the mobile genetic element ICEBs1  induction by the SOS response or the [[protein|A208B4564A50D7BE2630DE40E8FAAF3C16236EE4]]-[[protein|F3E14B772A5DA9073ED806A9ADDD9B64F0DFDD5B]] sensory system,control of transfer of the mobile genetic element ICEBs1,transcriptional repressor ([wiki|Xre family]),no,P96631
BSU24680,comGF,DNA transport machinery,genetic competence  DNA uptake,DNA transport machinery,no,P25958
new33554863355592c,S1257,new RNA feature  3'UTR of sufB,,3'UTR of sufB,,
BSU11381,appA/1,oligopeptide ABC transporter  inactive pseudogene in strain 168,unknown,oligopeptide ABC transporter,no,
BSU01370,adk,adenylate kinase,ADP formation,adenylate kinase,yes,P16304
BSUmiscRNA6,BSU_misc_RNA_6,null,null,,,
BSU17310,ymaG,spore coat protein,protection of the spore,spore coat protein,no,O31793
BSU12570,xtmA,PBSX terminase (small subunit),phage DNA replication,PBSX terminase (small subunit),no,P39785
BSU31959,ybdZ,unknown,unknown,unknown,-,C0H3Q6
BSU09330,yhcZ,two-component response regulator,unknown,two-component response regulator,no,O07528
BSU20920,yopE,unknown,unknown,unknown,no,O31933
new10387611038814,S335,new RNA feature  3'UTR of yhdX,,3'UTR of yhdX,,
BSU14030,ykuC,similar to macrolide-efflux protein,unknown,unknown,no,O31695
BSU01910,skfA,spore killing factor,killing of sister cells,spore killing factor,no,O31422
BSUmiscRNA19,BSU_misc_RNA_19,null,null,,,
BSU11450,oppC,oligopeptide [wiki|ABC transporter] (permease),initiation of [wiki|sporulation]  competence development,oligopeptide [wiki|ABC transporter] (permease),no,P24139
BSU23720,yqzH,unknown,unknown,unknown,no,O32014
new15270181527086c,S530,new RNA feature  5'UTR of ykzV,,5'UTR of ykzV,,
BSU28690,glcF,probable glycolate oxidase  iron-sulfur subunit,unknown,probable glycolate oxidase  iron-sulfur subunit,no,P94534
BSU22750,menH,menaquinone biosynthesis methyltransferase,biosynthesis of menaquinone,menaquinone biosynthesis methyltransferase,no,P31113
BSUmiscRNA44,BSU_misc_RNA_44,null,null,,,
BSU27785,yrzF,putative serine/threonine-protein kinase,unknown,unknown,no,O32057
BSU04200,ydaE,lyxose isomerase  general stress protein  survival of ethanol stress and low temperatures,survival of ethanol stress and low temperatures,lyxose isomerase,no,P96578
new432271432371,S130,new RNA feature  5'UTR of yclN,,5'UTR of yclN,,
BSU21760,ypmP,unknown,unknown,unknown,no,P54177
BSU29050,ytbE,putative aldo/keto reductase  may be involved in detoxification,unknown,putative aldo/keto reductase,no,O34678
BSU05900,thiL,thiamine-monophosphate kinase,biosynthesis of thiamine,thiamine-monophosphate kinase,no,O05514
new22622682262436,S805,new RNA feature  intergenic region,,intergenic region,,
BSU02619,yczK,unknown,unknown,unknown,-,C0H3T2
BSU15040,ylbK,similar to patatin-like phospholipase,unknown,putative phospholipase,no,O34731
BSU03040,amyE,alpha-amylase,starch degradation,alpha-amylase,no,P00691
BSU02270,pssA,phosphatidylserine synthase,biosynthesis of phosphatidylethanolamine,phosphatidylserine synthase,no,P39823
BSU18030,tlp,thioredoxin-like protein,unknown,thioredoxin-like protein,no,Q45060
BSU08410,yfiV,similar to transcriptional regulator ([wiki|MarR family]),unknown,unknown,no,O31564
BSU01670,amiE,N-acetylmuramyl-L-alanine amidase,recycling of cell wall material,N-acetylmuramyl-L-alanine amidase,no,O05213
BSU34890,hisH,imidazole glycerol phosphate synthase (glutaminase subunit),biosynthesis of histidine,imidazole glycerol phosphate synthase (glutaminase subunit),no,O34565
BSU05630,bstG,bacillithiol S-transferase  nuclease inhibitor,response to DNA damage,bacillithiol S-transferase  nuclease inhibitor,no,Q02886
BSU22610,tyrA,prephenate dehydrogenase,biosynthesis of tyrosine,prephenate dehydrogenase,no,P20692
new352793352857,S119,new RNA feature  5'UTR of ycgT,,5'UTR of ycgT,,
BSU37370,albA,radical S-adenosylmethionine enzyme  antilisterial bacteriocin (subtilosin) production,antilisterial bacteriocin (subtilosin) production,radical S-adenosylmethionine enzyme,no,P71011
BSUrRNA15,rrnI-5S,5S rRNA,translation,ribosomal RNA-5S,no,
BSU37180,fadF,similar to iron-sulphur-binding reductase,fatty acid degradation,unknown,no,P45866
BSU06470,purQ,phosphoribosylformylglycinamidine synthase,purine biosynthesis,phosphoribosylformylglycinamidine synthase,no,P12041
new28431112843532,S1054,new RNA feature  3'UTR of yrbD,,3'UTR of yrbD,,
BSU35170,uvrB,excinuclease ABC (subunit B)  required for transcription-dependent asymmetry in mutation rates of genes in the two orientations,DNA repair after UV damage,excinuclease ABC (subunit B),no,P37954
new511038511105,S158,new RNA feature  5'UTR of cshA,,5'UTR of cshA,,
BSU28190,ysxC,assembly of the 50S subunit of the ribosome,ribosome assembly,GTPase,yes,P38424
new24542652454346c,S892,new RNA feature  intergenic region,,intergenic region,,
new11511211151285,S385,new RNA feature  3' of S381,,3' of S381,,
BSU02900,yceD,general stress protein  similar to tellurium resistance protein,required for survival of ethanol stress,unknown,no,P80875
new655138655222,S213,new RNA feature  5'UTR of ydiO,,5'UTR of ydiO,,
BSU29550,ytcJ,putative amidohydrolase,unknown,unknown,no,O34355
BSU29805,sftA,DNA translocase  translocation of non-segregated chromosomes prior to septum closure,resolution of chromosome dimers,DNA translocase,no,C0SP86
BSU35580,tuaD,UDP glucose 6-dehydrogenase,biosynthesis of teichuronic acid,UDP glucose 6-dehydrogenase,no,O32271
BSU17270,pghC,phage-derived gamma polyglutamic acid hydrolase,polyglutamic acid degradation,phage-derived gamma polyglutamic acid hydrolase,no,O31789
BSU05710,ydhD,spore coat peptidoglycan hydrolase,unknown,spore coat glycosylase,no,O05495
BSU40650,yybG,unknown,unknown,unknown,no,P37497
BSU34670,yvdA,similar to carbonic anhydrase,unknown,unknown,no,O06983
BSU02030,prkD,protein kinase D,unknown,protein kinase D,no,O31435
new19121421913240c,S651,new RNA feature  independent transcript,,independent transcript,,
new41980714198574,S1574,new RNA feature  independent transcript,,independent transcript,,
BSU20780,yopS,similar to transcription regulator (Xre family),unknown,unknown,no,O34766
new27793862779461c,S1028,new RNA feature  intergenic region,,intergenic region,,
BSU26780,bstE,bacillithiol S-transferase,unknown,bacillithiol S-transferase,no,O07079
BSU22770,mtrB,tryptophan operon RNA-binding attenuation protein (TRAP)  controls RNA switch in front of genes involved in biosynthesis and acquisition of tryptophan,regulation of tryptophan biosynthesis(and translation) attenuation in the trp operon;repression of the folate operon,tryptophan operon RNA-binding attenuation protein (TRAP),no,P19466
BSU05520,ydzH,unknown,unknown,unknown,no,O31496
BSU09410,phoA,alkaline phosphatase A,aquisition of phosphate upon phosphate starvation,alkaline phosphatase A,no,P19406
BSU25320,yqfG,RNase M16  endoribonuclease  required for the maturation of the 3' end of 16S rRNA,16S rRNA maturation,RNase M16,yes,P46347
BSU01845,ybcC,subunit of a Na<sup>+</sup>:bicarbonate transporter [[protein|CCDDC414E266D86B9027EA67EA565D87357023B3|MpsA]]-[[protein|E04C67FB0EA3FFEC8FB68440F4661505C3DFDA29|MpsB]],uptake of bicarbonate,subunit of a Na<sup>+</sup>:bicarbonate transporter,no,O34688
BSU28790,araB,L-ribulokinase,arabinose utilization,L-ribulokinase,no,P94524
BSUtRNA76,trnSL-Thr1,null,translation,transfer RNA-Thr,no,
BSU19330,sodF,superoxide dismutase,detoxification of oxygen radicals,superoxide dismutase,no,O35023
BSU02330,ybfQ,unknown,unknown,unknown,no,O31457
BSU31080,bslA,bacterial hydrophobin  forms water-repellent surface layer of the biofilm  required for sliding  inhibitor of [[protein|B29CAD04FB89ACC482EFCD29D50EDDA19145CAA2]] autophosphorylation  and subsequently of entry into [wiki|sporulation],[wiki|biofilm formation]  control of entry into [wiki|sporulation] via the [wiki|phosphorelay],biofilm surface layer  inhibitor of [[protein|B29CAD04FB89ACC482EFCD29D50EDDA19145CAA2]] autophosphorylation,no,P71014
BSU36690,rapB,response regulator aspartate phosphatase  dephosphorylates Spo0F-P  control of the phosphorelay,control of sporulation initiation,response regulator aspartate phosphatase,no,P70962
BSU38600,licR,transcriptional activator of the [[gene|65FC7F4ED92F747DB7BC5672DCA2D2320A471134]]-[[gene|83A7C160B0301A2B51B65478D99ACB753D67AF74]]-[[gene|E8B6C8E722BEE866878CDD816B7828C132F94FCD]]-[[gene|84D8AA0AFBF46273F6B4198B49440D55470FEC0F]] operon,regulation of lichenan utilization,transcriptional activator  [wiki|PRD]-type,no,P46321
BSUmiscRNA43,ldlU,,,,,
BSU20010,yosT,unknown,unknown,unknown,no,O34775
new38300023830131c,S1448,new RNA feature  intergenic region,,intergenic region,,
BSU11809,yjcZ,unknown,unknown,unknown,-,C0H3Y8
BSU35360,hag,flagellin protein  about 12 000 subunits make up one flagellum,[wiki|motility and chemotaxis],flagellin protein,no,P02968
BSU05250,ydeM,similar to dehydratase,unknown,unknown,no,P96670
new31540773154734c,S1178,new RNA feature  3'UTR of ytdA,,3'UTR of ytdA,,
BSUtRNA51,trnS-Leu2,null,translation,transfer RNA-Leu,no,
BSU06920,yesJ,unknown,unknown,unknown,no,O31513
BSU26410,yrkR,unknown,unknown,unknown,no,P54445
new16553751655445,S573,new RNA feature  intergenic region,,intergenic region,,
BSU15340,ylmA,similar to [wiki|ABC transporter] (ATP-binding protein),unknown,unknown,no,O31723
new27520642752166c,S1015,new RNA feature  3'UTR of yraH,,3'UTR of yraH,,
new29304732930793c,S1081,new RNA feature  5'UTR of pheS,,5'UTR of pheS,,
BSUmiscRNA63,BSU_misc_RNA_63,null,null,,,
BSU31110,yubF,unknown,unknown,unknown,no,O32082
new34103793410465,S1278,new RNA feature  5'UTR of oxdC,,5'UTR of oxdC,,
BSU05910,tsaE,protein kinase  required for threonyl carbamoyl adenosine (t6A) modification of tRNAs that pair with ANN codons in mRNA,control of tRNA modification,protein kinase involved in tRNA modification,no,O05515
BSU18000,citB,aconitase  trigger enzyme,TCA cycle,aconitase  trigger enzyme,no,P09339
BSU29060,ytaG,dephospho-CoA kinase,synthesis of coenzyme A,dephospho-CoA kinase,yes,O34932
BSU04580,cshA,DEAD-box RNA helicase  contributes to efficient 3' exonucleolytic mRNA decay (together with [[protein|64C6D783FF3F41C81B216F798A1DC8071345B1ED|PNPase]])  important for adaptation to low temperatures,RNA helicase,DEAD-box RNA helicase,no,P96614
BSU40300,rapG,response regulator aspartate phosphatase  controls [[protein|D343D2096664A972026D911E7A17A35C7B1CD1C9]] activity,control of [[protein|D343D2096664A972026D911E7A17A35C7B1CD1C9]] activity,response regulator aspartate phosphatase,no,O32294
BSU03540,ycxB,unknown,unknown,unknown,no,Q08793
BSUmiscRNA11,Thi-box,Thi-box controlling thiC expression,control of thiC expression,Thi-box RNA,no,
